,Euclide,Manhattan,Minkowski,KNN,NB,DT,SVC,LDA,LR
PCA(n_components=60),0.9998158379373848,0.9998158379373848,0.9998158379373848,0.9998158379373848,0.9605893186003683,0.9237569060773481,0.9998158379373848,0.9766114180478821,0.9994475138121548
LocallyLinearEmbedding(n_components=100),0.9996316758747698,0.9996316758747698,0.9996316758747698,0.9996316758747698,0.9622467771639043,0.9974217311233886,0.9957642725598527,0.9854511970534071,0.994843462246777
"KernelPCA(degree=1, n_components=60)",0.9998158379373848,0.9998158379373848,0.9998158379373848,0.9998158379373848,0.9639042357274402,0.9224677716390423,0.9998158379373848,0.9769797421731123,0.9994475138121548
"IncrementalPCA(batch_size=60, n_components=60, whiten=True)",0.9996316758747698,0.9996316758747698,0.9996316758747698,0.9992633517495395,0.9637200736648251,0.9318600368324125,0.9996316758747698,0.978268876611418,0.9992633517495395
