,Euclide,Manhattan,Minkowski,KNN,NB,DT,SVC,LDA,LR
PCA(n_components=60),0.9724999999999999,0.9650000000000001,0.9724999999999999,0.8700000000000001,0.8550000000000001,0.5650000000000001,0.9875,0.9875,0.9875
LocallyLinearEmbedding(n_components=100),0.925,0.95,0.925,0.7474999999999999,0.925,0.85,0.9200000000000002,0.9475,0.9275
"KernelPCA(degree=1, n_components=60)",0.9724999999999999,0.9625,0.9724999999999999,0.865,0.85,0.58,0.985,0.9875,0.9875
"IncrementalPCA(batch_size=60, n_components=60, whiten=True)",0.925,0.9375,0.925,0.8200000000000001,0.8675,0.5325,0.9525,0.9800000000000001,0.9475
