,Euclide,Manhattan,Minkowski,KNN,NB,DT,SVC,LDA,LR
PCA(n_components=60),0.11060151060151062,0.11397078897078897,0.11060151060151062,0.10182910182910183,0.10790108290108291,0.05664755664755664,0.1334971334971335,0.09643052143052144,0.09306351806351806
LocallyLinearEmbedding(n_components=100),0.08834288834288835,0.08159068159068159,0.08834288834288835,0.09508372008372008,0.06339066339066339,0.07013377013377013,0.10923195923195923,0.10653835653835653,0.07147829647829648
"KernelPCA(degree=1, n_components=61)",0.1106015106015106,0.11262171262171261,0.1106015106015106,0.10385157885157885,0.10857220857220858,0.06205296205296205,0.1334994084994085,0.10047320047320048,0.09373464373464373
"IncrementalPCA(batch_size=60, n_components=60, whiten=True)",0.12272499772499774,0.13014378014378014,0.12272499772499774,0.10518018018018019,0.10113750113750113,0.06541769041769042,0.14092501592501594,0.09508372008372008,0.10046865046865047
