,Euclide,Manhattan,Minkowski,KNN,NB,DT,SVC,LDA,LR
PCA(n_components=60),0.8535297710621814,0.8778156673297339,0.8535297710621814,0.7730033675972472,0.748716491427489,0.696320140583303,0.9197371902284152,0.797032202852822,0.80547014074662
LocallyLinearEmbedding(n_components=100),0.7737752039013174,0.7788863738065608,0.7737752039013174,0.6459574134501376,0.4805685392597819,0.7047577518430327,0.6546546987943936,0.5754090275123875,0.5534347205482226
"KernelPCA(degree=1, n_components=61)",0.8535287911599754,0.8783261963789346,0.8535287911599754,0.7747920157568274,0.7505044863189321,0.6993895209258116,0.9205011873148393,0.8041913683681037,0.8100694750663884
"IncrementalPCA(batch_size=60, n_components=60, whiten=True)",0.8944328489350095,0.8921343249943655,0.8944328489350095,0.8389625448713552,0.7609816007029165,0.7113978958233301,0.939929055080303,0.8031667172949474,0.8093022116392783
