,Euclide,Manhattan,Minkowski,KNN,NB,DT,SVC,LDA,LR
PCA(n_components=60),0.3540061006609049,0.36966954753431625,0.3540061006609049,0.3183807829181494,0.42879257752923233,0.19158362989323843,0.5085485510930351,0.4992882562277581,0.38247076766649724
LocallyLinearEmbedding(n_components=100),0.29416115912557195,0.28989069649212,0.29416115912557195,0.2606863243518048,0.2799161159125572,0.1858896797153025,0.33478139298424,0.31199034062023384,0.32124809354346723
"KernelPCA(degree=1, n_components=60)",0.3540035587188612,0.3653940010167768,0.3540035587188612,0.3176614133197763,0.43592018301982716,0.1887544483985765,0.5085510930350787,0.5099669547534316,0.37605744789018813
"IncrementalPCA(batch_size=60, n_components=60, whiten=True)",0.3831698017285206,0.3810447381799695,0.3831698017285206,0.3318861209964413,0.4309049313675648,0.1752033553634977,0.5605439755973564,0.5106786985256736,0.4771936959837316
